"Resistance penalty:","저항 패널티:"
"Cannot Leech Life/Mana?","생명력/마나 흡수불가?"
"Gains reduced Flask Charges:","플라스크 충전 감소:"
"-X% maximum Resistances:","-X% 최대 저항:"
"Mid tier: 5-8%","중간티어: 5-8%"
"High tier: 9-12%","고티어: 9-12%"
"Less Area of Effect:","효과 범위 감소:"
"Enemy avoid Elem. Status Ailments:","적 회피 원소/상태이상:"
"Unlucky Dodge/Enemy has inc. Accuracy:","완벽 회피 확률/정확도에 불운 적용:"
"Reduced Block Chance/less Armour:","막기확률 감소/방어력 감소:"
"Player has Point Blank?","플러이어 근접사격 보유?"
"Cannot Regen Life, Mana or ES?","생명력,마나,에너지보호막 재생 불가"
"Enemy takes red. Extra Crit Damage:","몬스터가 치명타로 인한 추가 피해 감소"
"Low tier: 25-30%","저티어: 25-30%"
"Mid tier: 31-35%","중간티어: 31-35%"
"High tier: 36-40%","고티어: 36-40%"
"# of Sextants affecting the area","지역에 영향을 미치는 육분의 수:"
"Player is cursed by:","플레이어의 시전 저주:"
"Assassin's Mark:","암살자의 징표:"
"Conductivity:","전도성:"
"Despair:","절망:"
"Elemental Weakness:","원소 약화:"
"Enfeeble:","쇠약화:"
"Flammability:","인화성:"
"Frostbite:","동상:"
"Poacher's Mark:","밀렵꾼의 징표:"
"Projectile Weakness:","투사체 약화:"
"Punishment:","응징:"
"Temporal Chains:","시간의 사슬:"
"Vulnerability:","취약성:"
"Warlord's Mark:","전쟁군주의 징표:"
"Do you use Power Charges?","권능 충전을 사용합니까?"
"# of Power Charges (if not maximum):","# 권능 충전 상태(최대가 아닐때):"
"Do you use Frenzy Charges?","격분 충전을 사용합니까?"
"# of Frenzy Charges (if not maximum):","# 격분 충전 상태(최대가 아닐때):"
"Do you use Endurance Charges?","인내 충전을 사용합니까?"
"# of Endurance Charges (if not maximum):","# 인내 충전 상태(최대가 아닐때):"
"Do you use Siphoning Charges?","착취 충전을 사용합니까?"
"# of Siphoning Charges (if not maximum):","착취 충전 수(최대가 아닐때)"
"Do you use Challenger Charges?","도전자 충전을 사용합니까?"
"# of Challenger Charges (if not maximum):","도전자 충전 수(최대가 아닐때)"
"Do you use Blitz Charges?","공세 충전을 사용합니까?"
"# of Blitz Charges (if not maximum):","공세 충전 개수(최대가 아닌 경우):"
"Do you use Inspiration Charges?","영감 충전을 사용합니까?"
"# of Inspiration Charges (if not maximum):","영감 충전 수(최대가 아닐때)"
"Do your minions use Power Charges?","당신의 소환수가 권능 충전을 사용?"
"Do your minions use Frenzy Charges?","당신의 소환수가 격분 충전을 사용?"
"Do your minions use Endur. Charges?","당신의 소환수가 인내 충전을 사용?"
"Are you Focussed?","집중상태 인가?"
"Do you have Onslaught?","맹공을 가지고 있나요?"
"Do you have Unholy Might?","불경한 힘을 가지고 있나요?"
"Do you have Phasing?","차원 능력이 있나?"
"Do you have Fortify?","방어 상승이 있나?"
"Do you have Tailwind?","순풍을 가지고 있나?"
"Do you have Adrenaline?","아드레날린을 가지고 있나?"
"100% increased Damage","피해 100% 증가"
"25% increased Attack, Cast and Movement Speed","공격, 시전, 이동 속도 25% 증가"
"10% additional Physical Damage Reduction","추가적인 물리 피해 10% 감소"
"Do you have Divinity?","신성이 있나?"
"50% more Elemental Damage","원소 피해 50% 증가"
"20% less Elemental Damage Taken","받는 원소 피해 20% 감소"
"Rage:","격노:"
"Are you Leeching?","흡수하나요?"
"Are you Leeching Life?","생명력을 흡수를 합니까?"
"Are you Leeching Energy Shield?","에너지 보호막을 흡수했나요?"
"Are you Leeching Mana?","마나를 흡수를 합니까?"
"Do you have a Flask active?","플라스크를 활성화 하나요?"
"Do you have a Totem summoned?","토템을 소환합니까?"
"# of Nearby Allies","주변 동료 수:"
"# of Nearby Corpses","주변 시체 수:"
"Are you on Consecrated Ground?","신성한 대지를 켜나요?"
"Are you on Burning Ground?","용암 지대에 있나요?"
"Are you on Chilled Ground?","얼음 지대에 있나요?"
"Are you on Shocked Ground?","감전 지대에 있나요?"
"Are you Burning?","불타고 있나?"
"Are you Ignited?","점화 되었나?"
"Are you Chilled?","냉각 되었나?"
"Are you Frozen?","동결 되었나?"
"Are you Shocked?","감전 되었나?"
"Are you Bleeding?","출혈 중인가?"
"Are you Poisoned?","중독 되었나?"
"# of Poison on You:","중독된 독의 수:"
"Have you Hit Recently?","최근에 타격했나요?"
"Have you Crit Recently?","최근에 치명타를 입혔나요?"
"Have your Skills Crit Recently?","최근에 주문 치명타를 입혔습니까?"
"Have you dealt a Non-Crit Recently?","최근에 비 치명타 피해를 가한 적이 있는가?"
"Have you Killed Recently?","최근에 죽었나?"
"# of Enemies Killed Recently","최근에 죽인 적의 수"
"This also implies that you have Killed Recently.","이것 또한 최근에 죽인 적의 수를 뜻함."
"Have your Totems Killed Recently?","최근에 토템이 죽었나요?"
"# of Enemies Killed by Totems Recently","최근 토템에 의해 처치된 적의 수:"
"Have your Minions Killed Recently?","최근에 소환수들이 죽었나요?"
"# of Enemies Killed by Minions Recently","최근에 소환수가 죽인 적의 수"
"Killed Enemy affected by your DoT Recently?","최근 지속피해 피해를 입은 적이 있나?"
"# of Shocked Enemies Killed Recently:","최근 감전으로 죽인 적의 수:"
"Have you Frozen an Enemy Recently?","최근에 적을 동결시킨 적이 있는가?"
"Have you Shattered an Enemy Recently?","최근 적을 산산조각 냈나요?"
"Have you Ignited an Enemy Recently?","최근 적을 점화했나요?"
"Have you Shocked an Enemy Recently?","최근 적을 감전시켰나요?"
"# of Poisons applied Recently:","최근에 적용한 독의 수:"
"Have you been Hit Recently?","최근에 맞았나요?"
"Have you been Crit Recently?","최근 치명타를 받았나요?"
"Have you been Savage Hit Recently?","최근에 야만적인 타격을 사용했나요?"
"Have you been hit by Fire Recently?","최근에 화염 피해를 받았나요?"
"Have you been hit by Cold Recently?","최근에 냉기 피해를 받았나요?"
"Have you been hit by Light. Recently?","최근에 번개 피해를 받았나요?"
"Have you Blocked Recently?","최근에 차단했나요?"
"Have you Blocked an Attack Recently?","최근 공격을 차단했나요?"
"Have you Blocked a Spell Recently?","최근 주문을 차단했나요?"
"Energy Shield Recharge started Recently?","최근 에너지 보호막 충전이 시작되었나요?"
"Is Pendulum of Destruction active?","파괴의 추가 활성화되어 있나요?"
"Conflux Buff:","융합 버프:"
"Is Bastion of Hope active?","희망의 보루가 활성화되었나요?"
"Are you in Her Embrace?","여신의 포옹 안에 있나요?"
"Have you used a Skill Recently?","최근에 스킬을 사용했나요?"
"# of Skills Used Recently:","최근에 사용한 스킬 개수:"
"Have you Attacked Recently?","최근에 공격을 받았나요?"
"Have you Cast a Spell Recently?","최근에 주문을 시전했나요?"
"Have you used a Fire Skill Recently?","최근에 화염 주문을 시전했나요?"
"Have you used a Cold Skill Recently?","최근에 냉기 주문을 시전했나요?"
"Have you used a Minion Skill Recently?","최근에 소환수 스킬을 사용했나요?"
"Have you used a Movement Skill Recently?","최근에 이동 스킬을 사용했나요?"
"Have you used a Vaal Skill Recently?","최근에 바알 스킬을 사용했나요?"
"Do you have Soul Gain Prevention?","최근에 영혼 획득 방지를 했나요?"
"Have you used a Warcry Recently?","최근에 함성을 사용했나요?"
"# of Mines Detonated Recently:","최근에 폭발한 지뢰 개수:"
"# of Traps Triggered Recently:","최근에 발동한 덫 수:"
"Consumed a corpse Recently?","최근에 시신을 소모했나요?"
"# of Corpses Consumed Recently:","최근 소모한 시체 수:"
"Taunted an Enemy Recently?","최근에 적을 도발했나요?"
"Have you used a Fire Skill in the past 10s?","최근 10초 동안 화염 스킬을 사용했나요?"
"Have you used a Cold Skill in the past 10s?","최근 10초 동안 냉기 스킬을 사용했나요?"
"Have you used a Light. Skill in the past 10s?","최근 10초 동안 번개 스킬을 사용했나요?"
"Is your Crit Chance Lucky?","치명타 확률이 행운입니까?"
"Is the enemy Moving?","적이 움직입니까?"
"Is the enemy on Full Life?","적이 최대 생명력인가?"
"Is the enemy on Low Life?","적이 낮은 생명력인가?"
"Is the enemy Cursed?","적이 저주를 받았나?"
"Is the enemy Bleeding?","적이 출혈상태인가?"
"Is the enemy Poisoned?","적이 중독되었나?"
"# of Poison on Enemy:","# 중독된 적의 수:"
"Is the enemy Maimed?","적이 힘줄절단 상태인가?"
"Is the enemy Hindered?","적이 이동방해 상태인가?"
"Is the enemy Blinded?","적이 실명 상태인가?"
"Is the enemy Taunted?","적이 도발 상태인가?"
"Is the enemy Burning?","적이 화상 상태인가?"
"Is the enemy Ignited?","적이 점화 상태인가?"
"Is the enemy Chilled?","적이 냉각 상태인가?"
"Is the enemy Frozen?","적이 동결 상태인가?"
"Is the enemy Shocked?","적이 감전 상태인가?"
"# of Freeze/Shock/Ignite on Enemy:","동결/감전/점화된 적의 수:"
"Is the enemy Intimidated?","적이 위협 상태인가?"
"10% increased Damage Taken by enemy","적에게 받은 피해 10% 증가"
"10% increased Attack Damage Taken by enemy","적에게 받은 공격 피해 10% 증가"
"Is the enemy Unnerved?","적이 낙담 상태인가?"
"10% increased Spell Damage Taken by enemy","적에게 받은 주문 피해 10% 증가"
"Is the enemy covered in Ash?","적이 재로 덮여있나?"
"20% less enemy Movement Speed","적 이동속도 20% 감소"
"20% increased Fire Damage Taken by enemy","적에게 받은 화염 피해 20% 증가"
"Is the enemy on consecrated ground?","적이 신성한 대지에 있나?"
"is the enemy Rare or Unique?","적이 희귀/고유인가?"
"Is the enemy a Boss?","적이 보스인가?"
"Standard Boss adds the following modifiers:","표준 보스는 다음과 같은 수식어가 추가됩니다:"
"{0}% to enemy Elemental Resistances","{0}% 적 원소 저항"
"{0}% to enemy Chaos Resistance","{0}% 적 카오스 저항"
"Standard Boss","일반 보스"
"Shaper/Guardian","형상자/수호자"
"Shaper/Guardian adds the following modifiers:","형성자/수호자에게 다음의 속성 부여:"
"50% less Duration of Bleed","출혈 지속 시간 50% 감소"
"50% less Duration of Poison","중독 지속 시간 50% 감소"
"50% less Duration of Ignite","점화 지속 시간 50% 감소"
"Enemy Phys. Damage Reduction:","적의 물리 피해 감소:"
"Enemy Fire Resistance:","적의 화염 저항"
"Enemy Cold Resistance:","적의 냉기 저항"
"Enemy Lightning Resistance:","적의 번개 저항"
"Enemy Chaos Resistance:","적의 카오스 저항"
"Enemy was Hit by Fire Damage?","적이 화염피해를 입었나?"
"Enemy was Hit by Cold Damage?","적이 냉기피해를 입었나?"
"Enemy was Hit by Light. Damage?","적이 번개피해를 입었나?"
"Ignore Skill Hit Damage?","스킬 적중 피해 무시?"
