"Life Regen","생명력 재생"
"Implicit Modifier magnitudes are tripled","고정 속성 부여 규모 3배 증가"
"{0}% increased Implicit Modifier magnitudes","고정 속성 부여 규모 {0}% 증가"
"{0}% reduced Implicit Modifier magnitudes","고정 속성 부여 규모 {0}% 감소"
"Has no Sockets","홈 없음"
"Has {0} Abyssal Sockets","심연 홈 {0}개"
"Has {0} Sockets","홈 {0}개"
"Sockets cannot be modified","홈 수정 불가"
"All Sockets Linked","모든 홈이 연결됨"
"Has one socket of each colour","각 색상의 홈이 1개씩 있음"
"Gems can be Socketed in this Item ignoring Socket Colour","젬은 홈 색상을 무시하고 이 아이템에 장착될 수 있음"
"Consumes Socketed Support Gems when they reach Maximum Level","Consumes Socketed Support Gems when they reach Maximum Level"
"Can Consume {0} Support Gem","Can Consume {0} Support Gem"
"Has not Consumed any Gems","Has not Consumed any Gems"
"{0}% chance to Trigger a Socketed Warcry Skill when you lose Endurance Charges","인내 충전 손실 시 {0}%의 확률로 장착된 함성 스킬 발동"
"Trigger a Socketed Warcry Skill when you lose Endurance Charges","인내 충전 손실 시 장착된 함성 스킬 발동"
"{0} to Level of Socketed Gems","장착된 젬 레벨 {0}"
"{0} to Level of Socketed Strength Gems","장착된 힘 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Dexterity Gems","장착된 민첩 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Intelligence Gems","장착된 지능 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Active Skill Gems per {1} Player Levels","{0} to Level of Socketed Active Skill Gems per {1} Player Levels"
"Gems Socketed in Red Sockets have {0} to Level","붉은 홈에 장착된 젬 레벨 {0}"
"Gems Socketed in Green Sockets have {0}% to Quality","Gems Socketed in Green Sockets have {0}% to Quality"
"Gems Socketed in Blue Sockets gain {0}% increased Experience","파란 홈에 장착된 젬 경험치 {0}% 증가"
"{0} to Level of Socketed Fire Gems","장착된 화염 속성 젬 레벨 {0}"
"{0} to Level of Socketed Cold Gems","장착된 냉기 속성 젬 레벨 {0}"
"{0} to Level of Socketed Lightning Gems","장착된 번개 속성 젬 레벨 {0}"
"{0} to Level of Socketed Chaos Gems","장착된 카오스 속성 젬 레벨 {0}"
"{0} to Level of Socketed Spell Gems","장착된 주문 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Duration Gems","장착된 지속시간 스킬 젬 레벨 {0}"
"{0} to Level of Socketed AoE Gems","장착된 효과 범위 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Projectile Gems","장착된 투사체 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Bow Gems","장착된 활 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Melee Gems","장착된 근접 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Minion Gems","장착된 소환수 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Aura Gems","장착된 오라 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Herald Gems","장착된 전령 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Movement Gems","장착된 이동 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Curse Gems","장착된 저주 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Trap Gems","장착된 덫 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Trap or Mine Gems","장착된 덫 또는 지뢰 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Vaal Gems","장착된 바알 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Support Gems","장착된 보조 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Active Skill Gems","장착된 액티브 스킬 젬 레벨 {0}"
"{0} to Level of Socketed Warcry Gems","장착된 함성 스킬 젬 레벨 {0}"
"Socketed Golem Skills have {0}% increased Attack and Cast Speed","장착된 골렘 스킬의 공격 및 시전 속도 {0}% 증가"
"{0}% increased Effect of Buffs granted by Socketed Golem Skills","장착된 골렘 스킬로 얻는 버프 효과 {0}% 증가"
"Socketed Golem Skills have {0}% chance to Taunt on Hit","명중 시 장착된 골렘 스킬의 도발 확률 {0}%"
"Socketed Golem Skills have Minions Regenerate {0}% of Life per second","Socketed Golem Skills have Minions Regenerate {0}% of Life per second"
"Gain Onslaught for {0} seconds when you Cast Socketed Golem Skill","장착된 골렘 스킬 시전 시 {0}초 동안 맹공 획득"
"Socketed Golem Skills gain {0}% of Maximum Life as Extra Maximum Energy Shield","장착된 골렘 스킬로 최대 생명력의 {0}%를 추가 에너지 보호막 최대치로 획득"
"{0} to Level of Socketed Golem Gems","장착된 골렘 스킬 젬 레벨 {0}"
"{0}% to Quality of Socketed Gems","{0}% to Quality of Socketed Gems"
"{0}% to Quality of Socketed Support Gems","{0}% to Quality of Socketed Support Gems"
"{0} to Level of Socketed Elemental Gems","장착된 원소 속성 젬 레벨 {0}"
"{0}% increased Effect of Socketed Jewels","장착된 주얼의 효과 {0}% 증가"
"{0}% reduced Effect of Socketed Jewels","장착된 주얼의 효과 {0}% 감소"
"Socketed Gems are Supported by Level {0} Increased Area of Effect","장착된 젬은 {0}레벨 효과 범위 증가 보조를 받음"
"Socketed Gems are Supported by Level {0} Arcane Surge","장착된 젬은 {0}레벨 비전 쇄도 보조를 받음"
"Socketed Gems are Supported by Level {0} Blessing","장착된 젬은 {0}레벨 축복 보조를 받음"
"Socketed Gems are Supported by Level {0} Bloodlust","장착된 젬은 {0}레벨 유혈 충동 보조를 받음"
"Socketed Gems are Supported by Level {0} Bonechill","장착된 젬은 {0}레벨 사무치는 한기 보조를 받음"
"Socketed Gems are Supported by Level {0} Brutality","장착된 젬은 {0}레벨 포악함 보조를 받음"
"Socketed Gems are Supported by Level {0} Cast when Damage Taken","장착된 젬은 {0}레벨 피격 시 시전 보조를 받음"
"Socketed Gems are Supported by Level {0} Cast On Melee Kill","장착된 젬은 근접 처치 시 {0}레벨 시전 보조를 받음"
"Socketed Gems are Supported by Level {0} Cast While Channelling","장착된 젬은 {0}레벨 집중 유지 중 시전 보조를 받음"
"Socketed Gems are Supported by Level {0} Chain","장착된 젬은 {0}레벨 연쇄 보조를 받음"
"Socketed Gems are supported by Level {0} Chance to Bleed","장착된 젬은 {0}레벨 출혈 확률 보조를 받음"
"Socketed Gems are Supported by Level {0} Combustion","장착된 젬은 {0}레벨 연소 보조를 받음"
"Socketed Gems are Supported by Level {0} Charged Mines","Socketed Gems are Supported by Level {0} Charged Mines"
"Socketed Gems are Supported by Level {0} Close Combat","장착된 젬은 {0}레벨 근접 전투 보조를 받음"
"Socketed Gems are Supported by Level {0} Culling Strike","장착된 젬은 {0}레벨 마무리 타격 보조를 받음"
"Socketed Gems are Supported by Level {0} Curse On Hit","장착된 젬은 {0}레벨 명중 시 저주 보조를 받음"
"Socketed Gems are Supported by Level {0} Deadly Ailments","장착된 젬은 {0}레벨 치명적인 상태 이상의 보조를 받음"
"Socketed Gems are Supported by Level {0} Decay","장착된 젬은 {0}레벨 부패 보조를 받음"
"Socketed Gems are Supported by Level {0} Efficacy","장착된 젬은 {0}레벨 효력 보조를 받음"
"Socketed Gems are Supported by Level {0} Elemental Focus","장착된 젬은 {0}레벨 원소 집중 보조를 받음"
"Socketed Gems are Supported by Level {0} Elemental Penetration","장착된 젬은 {0}레벨 원소 관통 보조를 받음"
"Socketed Gems are Supported by Level {0} Empower","장착된 젬은 {0}레벨 강화 보조를 받음"
"Socketed Gems are Supported by Level {0} Energy Leech","장착된 젬은 {0}레벨 에너지 흡수 보조를 받음"
"Socketed Gems are Supported by Level {0} Enhance","장착된 젬은 {0}레벨 향상 보조를 받음"
"Socketed Gems are Supported by Level {0} Enlighten","장착된 젬은 {0}레벨 계몽 보조를 받음"
"Socketed Gems are Supported by Level {0} Feeding Frenzy","Socketed Gems are Supported by Level {0} Feeding Frenzy"
"Socketed Gems are Supported by Level {0} Fire Penetration","장착된 젬은 {0}레벨 화염 관통 보조를 받음"
"Socketed Gems are Supported by Level {0} Charged Traps","장착된 젬은 {0}레벨 충전된 덫 보조를 받음"
"Socketed Gems are Supported by Level {0} Greater Multiple Projectiles","장착된 젬은 {0}레벨 상위 다중 투사체 보조를 받음"
"Socketed Gems are Supported by Level {0} Greater Spell Echo","장착된 젬은 {0}레벨 강력한 주문 메아리 보조를 받음"
"Socketed Gems are Supported by Level {0} Greater Volley","장착된 젬은 {0}레벨 상급 사격 공세 보조를 받음"
"Socketed Gems are Supported by Level {0} Ignite Proliferation","장착된 젬은 {0}레벨 점화 확산 보조를 받음"
"Socketed Gems are Supported by Level {0} Immolate","장착된 젬은 {0}레벨 번제 보조를 받음"
"Socketed Gems are Supported by Level {0} Impale","장착된 젬은 {0}레벨 꿰뚫기 보조를 받음"
"Socketed Gems are Supported by Level {0} Burning Damage","장착된 젬은 {0}레벨 화상 피해 보조를 받음"
"Socketed Gems are Supported by Level {0} Increased Critical Strikes","장착된 젬은 {0}레벨 치명타 증가 보조를 받음"
"Socketed Gems are Supported by Level {0} Increased Duration","장착된 젬은 {0}레벨 지속시간 증가 보조를 받음"
"Socketed Gems are Supported by Level {0} Infernal Legion","Socketed Gems are Supported by Level {0} Infernal Legion"
"Socketed Gems are Supported by Level {0} Iron Grip","장착된 젬은 {0}레벨 강철 손아귀 보조를 받음"
"Socketed Gems are Supported by Level {0} Item Quantity","장착된 젬은 {0}레벨 아이템 드랍 증가 보조를 받음"
"Socketed Gems are Supported by Level {0} Item Rarity","장착된 젬은 {0}레벨 아이템 희귀도 보조를 받음"
"Socketed Gems are Supported by Level {0} Life Gain On Hit","장착된 젬은 {0}레벨 명중 시 생명력 획득 보조를 받음"
"Socketed Gems are Supported by Level {0} Lightning Penetration","장착된 젬은 {0}레벨 번개 관통 보조를 받음"
"Socketed Gems are Supported by Level {0} Maim","장착된 젬은 {0}레벨 힘줄 절단 보조를 받음"
"Socketed Gems are Supported by Level {0} Meat Shield","Socketed Gems are Supported by Level {0} Meat Shield"
"Socketed Gems are Supported by Level {0} Damage On Full Life","장착된 젬은 {0}레벨 최대 생명력 시 피해 보조를 받음"
"Socketed Gems are Supported by Level {0} Minefield","장착된 젬은 {0}레벨 지뢰밭 보조를 받음"
"Socketed Gems are Supported by Level {0} Mirage Archer","장착된 젬은 {0}레벨 신기루 궁수 보조를 받음"
"Socketed Gems are Supported by Level {0} Multiple Totems","장착된 젬은 {0}레벨 다중 토템 보조를 받음"
"Socketed Gems are Supported by Level {0} Spell Echo","장착된 젬은 {0}레벨 주문 메아리 보조를 받음"
"Socketed Gems are Supported by Level {0} Onslaught","장착된 젬은 {0}레벨 맹공 보조를 받음"
"Socketed Gems are Supported by Level {0} Volley","장착된 젬은 {0}레벨 사격 공세 보조를 받음"
"Socketed Gems are Supported by Level {0} Vicious Projectiles","장착된 젬은 {0}레벨 포악한 투사체 보조를 받음"
"Socketed Gems are Supported by Level {0} Physical To Lightning","장착된 젬은 {0}레벨 물리 번개 전환 보조를 받음"
"Socketed Gems are Supported by Level {0} Point Blank","장착된 젬은 {0}레벨 근접 사격 보조를 받음"
"Socketed Gems are Supported by Level {0} Poison","장착된 젬은 {0}레벨 중독 보조를 받음"
"Socketed Gems are Supported by Level {0} Power Charge On Critical Strike","장착된 젬은 {0}레벨 치명타 시 권능 충전 보조를 받음"
"Socketed Gems are Supported by Level {0} Pulverise","장착된 젬은 {0}레벨 분쇄 보조를 받음"
"Socketed Gems are Supported by Level {0} Rage","장착된 젬은 {0}레벨 격노 보조를 받음"
"Socketed Gems are Supported by Level {0} Ranged Attack Totem","장착된 젬은 {0}레벨 원거리 공격 토템 보조를 받음"
"Socketed Gems are Supported by Level {0} Swift Affliction","장착된 젬은 {0}레벨 고통 격화 보조를 받음"
"Socketed Gems are Supported by Level {0} Block Chance Reduction","장착된 젬은 {0}레벨 막기 확률 감소 보조를 받음"
"Socketed Gems are Supported by Level {0} Less Duration","장착된 젬은 {0}레벨 지속시간 감소 보조를 받음"
"Socketed Gems are Supported by Level {0} High-Impact Mine","Socketed Gems are Supported by Level {0} High-Impact Mine"
"Socketed Gems are Supported by Level {0} Ruthless","장착된 젬은 {0}레벨 무자비 보조를 받음"
"Socketed Gems are Supported by Level {0} Shockwave","장착된 젬은 {0}레벨 충격파 보조를 받음"
"Socketed Gems are Supported by Level {0} Slower Projectiles","장착된 젬은 {0}레벨 투사체 감속 보조를 받음"
"Socketed Gems are Supported by Level {0} Spell Cascade","장착된 젬은 {0}레벨 연속 주문 보조를 받음"
"Socketed Gems are Supported by Level {0} Intensify","장착된 젬은 {0}레벨 격화 보조를 받음"
"Socketed Gems are Supported by Level {0} Ancestral Call","장착된 젬은 {0}레벨 선대의 부름 보조를 받음"
"Socketed Gems are Supported by Level {0} Infused Channelling","장착된 젬은 {0}레벨 깊어지는 집중 유지 보조를 받음"
"Socketed Gems are Supported by Level {0} Elemental Army Support","Socketed Gems are Supported by Level {0} Elemental Army Support"
"Socketed Gems are Supported by Level {0} Summon Phantasm","장착된 젬은 {0}레벨 환영 소환 보조를 받음"
"Socketed Gems are Supported by Level {0} Swift Assembly","Socketed Gems are Supported by Level {0} Swift Assembly"
"Socketed Gems are Supported by Level {0} Advanced Traps","장착된 젬은 {0}레벨 향상된 덫 보조를 받음"
"Socketed Gems are Supported by Level {0} Unbound Ailments","장착된 젬은 {0}레벨 벌어지는 상처 보조를 받음"
"Socketed Gems are Supported by Level {0} Unleash","장착된 젬은 {0}레벨 촉발 보조를 받음"
"Socketed Gems are Supported by Level {0} Void Manipulation","장착된 젬은 {0}레벨 공허 조작 보조를 받음"
"Socketed Gems are Supported by Level {0} Withering Touch","장착된 젬은 {0}레벨 위축의 손길 보조를 받음"
"Socketed Gems are Supported by Level {0} Concentrated Effect","장착된 젬은 {0}레벨 효과 집중 보조를 받음"
"Socketed Gems are Supported by Level {0} Trap","장착된 젬은 {0}레벨 덫 보조를 받음"
"Socketed Gems are Supported by Level {0} Cluster Trap","장착된 젬은 {0}레벨 무리 덫 보조를 받음"
"Socketed Gems are Supported by Level {0} Multiple Traps","장착된 젬은 {0}레벨 다중 덫 보조를 받음"
"Socketed Gems are Supported by Level {0} Trap And Mine Damage","장착된 젬은 {0}레벨 덫 및 지뢰 피해 보조를 받음"
"Socketed Gems are Supported by Level {0} Added Chaos Damage","장착된 젬은 {0}레벨 카오스 피해 추가 보조를 받음"
"Socketed Gems are Supported by Level {0} Blood Magic","장착된 젬은 {0}레벨 혈마법 보조를 받음"
"Socketed Gems are Supported by Level {0} Added Fire Damage","장착된 젬은 {0}레벨 화염 피해 추가 보조를 받음"
"Socketed Gems are Supported by Level {0} Cold to Fire","장착된 젬은 {0}레벨 냉기 화염 전환 보조를 받음"
"Socketed Gems are Supported by Level {0} Spell Totem","장착된 젬은 {0}레벨 주문 토템 보조를 받음"
"Socketed Gems are Supported by Level {0} Elemental Proliferation","장착된 젬은 {0}레벨 원소 확산 보조를 받음"
"Socketed Gems are Supported by Level {0} Added Lightning Damage","장착된 젬은 {0}레벨 번개 피해 추가 보조를 받음"
"Socketed Gems are Supported by Level {0} Melee Physical Damage","장착된 젬은 {0}레벨 근접 물리 피해 보조를 받음"
"Socketed Gems are Supported by Level {0} Faster Attacks","장착된 젬은 {0}레벨 공격 속도 증가 보조를 받음"
"Socketed Gems are supported by Level {0} Blind","장착된 젬은 {0}레벨 실명 보조를 받음"
"Socketed Gems are supported by Level {0} Melee Splash","장착된 젬은 {0}레벨 근접 범위 피해 보조를 받음"
"Socketed Gems are supported by Level {0} Cast On Critical Strike","장착된 젬은 {0}레벨 치명타 시 시전 보조를 받음"
"Socketed Gems are supported by Level {0} Cast when Stunned","장착된 젬은 {0}레벨 기절 시 시전 보조를 받음"
"Socketed Gems are supported by Level {0} Cast on Death","장착된 젬은 {0}레벨 사망 시 시전 보조를 받음"
"Socketed Gems are supported by Level {0} Stun","장착된 젬은 {0}레벨 기절 보조를 받음"
"Socketed Gems are supported by Level {0} Additional Accuracy","장착된 젬은 {0}레벨 정확도 추가 보조를 받음"
"Socketed Gems are supported by Level {0} Multistrike","장착된 젬은 {0}레벨 연속타격 보조를 받음"
"Socketed Gems are supported by Level {0} Faster Projectiles","장착된 젬은 {0}레벨 투사체 속도 증가 보조를 받음"
"Socketed Gems are supported by Level {0} Life Leech","장착된 젬은 {0}레벨 생명력 흡수 보조를 받음"
"Socketed Gems are Supported by Level {0} Increased Critical Damage","장착된 젬은 {0}레벨 치명타 피해 증가 보조를 받음"
"Socketed Gems are supported by Level {0} Fork","장착된 젬은 {0}레벨 갈래 보조를 받음"
"Socketed Gems are supported by Level {0} Elemental Damage with Attacks","장착된 젬은 {0}레벨 공격 시 원소 피해 보조를 받음"
"Socketed Gems are Supported by Level {0} Inspiration","Socketed Gems are Supported by Level {0} Inspiration"
"Socketed Gems are Supported by Level {0} Generosity","장착된 젬은 {0}레벨 관대함 보조를 받음"
"Socketed Gems are Supported by Level {0} Fortify","장착된 젬은 {0}레벨 방어 상승 보조를 받음"
"Socketed Gems are Supported by Level {0} Blastchain Mine","Socketed Gems are Supported by Level {0} Blastchain Mine"
"Socketed Gems are supported by Level {0} Chance to Flee","장착된 젬은 {0}레벨 도망칠 확률 보조를 받음"
"Socketed Gems are Supported by Level {0} Faster Casting","장착된 젬은 {0}레벨 시전 속도 증가 보조를 받음"
"Socketed Gems are Supported by Level {0} Iron Will","장착된 젬은 {0}레벨 강철의 의지 보조를 받음"
"Socketed Gems are Supported by Level {0} Knockback","장착된 젬은 {0}레벨 밀어내기 보조를 받음"
"Socketed Gems are Supported by Level {0} Minion Life","장착된 젬은 {0}레벨 소환수 생명력 보조를 받음"
"Socketed Gems are Supported by Level {0} Lesser Multiple Projectiles","장착된 젬은 {0}레벨 하급 다중 투사체 보조를 받음"
"Socketed Gems are Supported by Level {0} Minion Damage","장착된 젬은 {0}레벨 소환수 피해 보조를 받음"
"Socketed Gems are Supported by Level {0} Minion Speed","장착된 젬은 {0}레벨 소환수 속도 보조를 받음"
"Socketed Gems are Supported by Level {0} Pierce","장착된 젬은 {0}레벨 관통 보조를 받음"
"Socketed Gems are Supported by Level {0} Hypothermia","장착된 젬은 {0}레벨 체온저하 보조를 받음"
"Socketed Gems are Supported by Level {0} Ice Bite","장착된 젬은 {0}레벨 얼음 쐐기 보조를 받음"
"Socketed Gems are Supported by Level {0} Cold Penetration","장착된 젬은 {0}레벨 냉기 관통 보조를 받음"
"Socketed Gems are Supported by Level {0} Mana Leech","장착된 젬은 {0}레벨 마나 흡수 보조를 받음"
"Socketed Gems are Supported by Level {0} Added Cold Damage","장착된 젬은 {0}레벨 냉기 피해 추가 보조를 받음"
"Socketed Gems are Supported by Level {0} Blasphemy","장착된 젬은 {0}레벨 신성 모독 보조를 받음"
"Socketed Gems are Supported by Level {0} Innervate","장착된 젬은 {0}레벨 자극 보조를 받음"
"Socketed Gems are Supported by Level {0} Vile Toxins","장착된 젬은 {0}레벨 끔찍한 독소 보조를 받음"
"Socketed Gems are Supported by Level {0} Lesser Poison","장착된 젬은 {0}레벨 하급 중독 보조를 받음"
"Socketed Minion Gems are Supported by Level {0} Life Leech","장착된 소환수 젬은 {0}레벨 생명력 흡수 보조를 받음"
"Socketed Gems are Supported by Level {0} Controlled Destruction","장착된 젬은 {0}레벨 제어된 파괴 보조를 받음"
"Socketed Gems are Supported by Level {0} Endurance Charge on Melee Stun","장착된 젬은 {0}레벨 기절 시 인내 충전 보조를 받음"
"Socketed Gems have Blood Magic","장착된 젬에 혈마법 보유"
"Socketed Gems have {0}% increased Mana Reservation","장착된 젬의 마나 점유 {0}% 증가"
"Socketed Gems have {0}% reduced Mana Reservation","장착된 젬의 마나 점유 {0}% 감소"
"Socketed Gems Reserve No Mana","장착된 젬의 마나 점유가 없어짐"
"Socketed Skill Gems get a {0}% Mana Multiplier","장착된 스킬 젬이 {0}%의 마나 배율 획득"
"Socketed Melee Gems have {0}% increased Area of Effect","장착된 근접 스킬 젬의 효과 범위 {0}% 증가"
"Socketed Melee Gems have {0}% reduced Area of Effect","장착된 근접 스킬 젬의 효과 범위 {0}% 감소"
"Socketed Red Gems get {0}% Physical Damage as Extra Fire Damage","장착된 붉은 젬으로 물리 피해의 {0}%를 추가 화염 피해로 획득"
"Socketed Skills Summon your maximum number of Totems in formation","장착된 스킬이 최대치의 토템 소환"
"Socketed Gems have {0}% chance to Ignite","장착된 젬의 점화 확률 {0}%"
"Socketed Gems always Ignite","장착된 젬이 항상 점화"
"Socketed Gems have {0}% chance to cause Enemies to Flee on Hit","명중 시 장착된 젬으로 적을 도망치게 할 확률 {0}%"
"Enemies slain by Socketed Gems drop {0}% increased item quantity","장착된 젬으로 처치한 적이 떨어뜨리는 아이템 수량 {0}% 증가"
"Enemies slain by Socketed Gems drop {0}% reduced item quantity","장착된 젬으로 처치한 적이 떨어뜨리는 아이템 수량 {0}% 감소"
"Curses in this item are reflected back to you","이 아이템의 저주가 자신에게 반사됨"
"Socketed Gems have Iron Will","장착된 젬에 강철의 의지 보유"
"Socketed Gems Chain {0} additional times","장착된 젬 연쇄 {0}회 추가"
"Socketed Gems have {0}% Critical Strike Chance","Socketed Gems have {0}% Critical Strike Chance"
"Spells in this item Repeat an additional time","이 아이템의 주문 1회 추가 반복"
"Spells in this item Repeat an additional {0} times","이 아이템의 주문 {0}회 추가 반복"
"{0}% chance to Trigger a Socketed Spell when you Attack with a Bow","활로 공격 시 {0}%의 확률로 장착된 주문 발동"
"Socketed Skills deal {0}% more Attack Damage","장착된 스킬로 주는 공격 피해 {0}% 증폭"
"Socketed Skills deal {0}% less Attack Damage","장착된 스킬로 주는 공격 피해 {0}% 감폭"
"Socketed Attacks have {0}% to Critical Strike Chance","Socketed Attacks have {0}% to Critical Strike Chance"
"Socketed Attacks have {0}% to Critical Strike Multiplier","Socketed Attacks have {0}% to Critical Strike Multiplier"
"Socketed Attacks have {0} to Total Mana Cost","장착된 공격의 총 마나 소모 {0}"
"Socketed Gems have {0}% more Attack and Cast Speed","장착된 젬의 공격 및 시전 속도 {0}% 증폭"
"Socketed Gems deal {0}% more Elemental Damage","장착된 젬이 주는 원소 피해 {0}% 증폭"
"Socketed Gems have {0}% reduced Mana Cost","장착된 젬의 마나 소모 {0}% 감소"
"Socketed Gems have {0}% increased Mana Cost","장착된 젬의 마나 소모 {0}% 증가"
"Socketed Gems deal {0} to {1} additional Fire Damage","장착된 젬이 주는 추가 화염 피해 {0}~{1}"
"Socketed Gems gain {0}% of Physical Damage as extra Lightning Damage","장착된 젬이 물리 피해의 {0}%를 추가 번개 피해로 획득"
"Socketed Movement Skills have no Mana Cost","장착된 이동 스킬의 마나 소모 없음"
"Socketed Skills have {0}% increased Attack Speed","장착된 스킬의 공격 속도 {0}% 증가"
"Socketed Skills have {0}% reduced Attack Speed","장착된 스킬의 공격 속도 {0}% 감소"
"Socketed Skills have {0}% increased Cast Speed","장착된 스킬의 시전 속도 {0}% 증가"
"Socketed Skills have {0}% reduced Cast Speed","장착된 스킬의 시전 속도 {0}% 감소"
"Socketed Skills deal {0}% more Spell Damage","장착된 스킬로 주는 주문 피해 {0}% 증폭"
"Socketed Skills deal {0}% less Spell Damage","장착된 스킬로 주는 주문 피해 {0}% 감폭"
"Socketed Spells have {0}% to Critical Strike Chance","Socketed Spells have {0}% to Critical Strike Chance"
"Socketed Spells have {0}% to Critical Strike Multiplier","Socketed Spells have {0}% to Critical Strike Multiplier"
"Socketed Spells have {0}% increased Mana Cost","장착된 주문의 마나 소모 {0}% 증가"
"Socketed Spells have {0}% reduced Mana Cost","장착된 주문의 마나 소모 {0}% 감소"
"Socketed Gems deal {0}% more Damage over Time","장착된 젬이 주는 지속 피해 {0}% 증폭"
"Socketed Gems deal {0}% less Damage over Time","장착된 젬이 주는 지속 피해 {0}% 감폭"
"Socketed Gems have Elemental Equilibrium","장착된 젬에 원소 균형 보유"
"Socketed Non-Curse Aura Gems have {0}% increased Aura Effect","장착된 저주 이외의 오라 젬 오라 효과 {0}% 증가"
"Socketed Non-Curse Aura Gems have {0}% reduced Aura Effect","장착된 저주 이외의 오라 젬 오라 효과 {0}% 감소"
"Socketed Gems have {0}% increased Elemental Equilibrium effect","장착된 젬의 원소 균형 효과 {0}% 증가"
"Socketed Gems have {0}% reduced Elemental Equilibrium effect","장착된 젬의 원소 균형 효과 {0}% 감소"
"Socketed Gems fire an additional Projectile","장착된 젬이 추가 투사체를 발사"
"Socketed Gems fire {0} additional Projectiles","장착된 젬이 {0}개의 추가 투사체를 발사"
"Socketed Gems fire Projectiles in a Nova","장착된 젬이 폭발성 투사체를 발사"
"Socketed Gems have {0}% increased Skill Effect Duration","장착된 젬의 스킬 효과 지속시간 {0}% 증가"
"Socketed Gems have {0}% reduced Skill Effect Duration","장착된 젬의 스킬 효과 지속시간 {0}% 감소"
"Traps from Socketed Skills create a Smoke Cloud when triggered","발동 시 장착된 덫 스킬이 연막 생성"
